region,degradation_mode,degradation_severity,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95
resident_only_full_body,dropout,0.3,5,0.5957959374082386,0.046543920701434455,0.040797545286084716,0.6082342211349211,0.050563889978402644,0.04432120371782324,0.6056436078878217,0.041178974698858416,0.036094962774793404,0.5982542685200872,0.044585076876814,0.03908054297001516
intruder_only_full_body,dropout,0.3,5,0.5043162116800446,0.06444748912172908,0.056490714928902855,0.5116430778746512,0.06790155906313691,0.0595183407226093,0.5118877356262428,0.060921678098052955,0.05340020530399775,0.5077636940114787,0.06103550164441845,0.053499976041346174
full_body_both_mice,jitter,0.02,5,0.7813860667837818,0.02238316426528085,0.019619708524695148,0.775264073084554,0.029980376049156692,0.026278958264073008,0.7738447615572085,0.031459743138151836,0.0275756806909433,0.782132615920825,0.021100500444503182,0.01849540411444407
no_tail_both_mice,jitter,0.02,5,0.7704190448945737,0.03465276669877804,0.030374489243188196,0.7659954509884516,0.03557417560686224,0.031182139760979846,0.7634399241910188,0.040577599870520786,0.03556783449631428,0.7727594623677387,0.03319461100536429,0.029096359424305617
hips_tail_both_mice,jitter,0.02,5,0.7717760132931056,0.018438900893072502,0.01616240924429834,0.7606488182845761,0.031382986921272636,0.027508400900437362,0.7617309628547126,0.03510353959258657,0.03076960910571251,0.7726689525105301,0.01979830472997408,0.017353979244467244
head_neck_both_mice,jitter,0.02,5,0.7602519775216937,0.030925177739526487,0.02710711345960305,0.7551931328105855,0.027927601764747786,0.024479622269851502,0.7551880562515549,0.03420835334967157,0.02998494376737372,0.762442549424291,0.030649923102779142,0.02686584213267853
trunk_tail_both_mice,jitter,0.02,5,0.7651031002320753,0.024278443252336124,0.021280993804037102,0.7534201357984681,0.04242461047626029,0.037186810673996144,0.7526090788001503,0.04087709024468268,0.035830349383725556,0.7655139077969229,0.02251054701588948,0.019731364428587694
resident_only_full_body,jitter,0.02,5,0.5792703270255799,0.02962870607452029,0.02597070594025142,0.5986297942471406,0.033177226755918734,0.02908112145781437,0.5798224665853263,0.02384500352812075,0.02090106713453932,0.5720397992212287,0.03089554862467832,0.027081142395356896
intruder_only_full_body,jitter,0.02,5,0.5038506092281008,0.043674792303812444,0.03828264336184763,0.518191872248263,0.047513680381332496,0.04164757712399217,0.49395124676883634,0.04172362927464134,0.03657237355983052,0.4886826247429739,0.04202027953610504,0.03683239897869949
full_body_both_mice,jitter,0.05,5,0.7731562483233723,0.025812101241476433,0.022625304303074825,0.770258653200117,0.030644593597765703,0.02686117061556391,0.7657340563274762,0.03412113560542545,0.029908494043822138,0.7740288582889147,0.023917357553541612,0.020964488234099746
