seed,region,degradation_mode,degradation_severity,accuracy,balanced_accuracy,macro_f1,weighted_f1,recall_attack,recall_investigation,recall_mount,recall_other,f1_attack,f1_investigation,f1_mount,f1_other,support_attack,support_investigation,support_mount,support_other
11,intruder_only_full_body,jitter,0.02,0.5529590707964602,0.5823165584415585,0.5404824821938334,0.5303787124223674,0.7265,0.5055,0.8587662337662337,0.2385,0.7072280360184959,0.4910150558523555,0.635626314208471,0.328060522696011,2000,2000,1232,2000
11,intruder_only_full_body,jitter,0.05,0.46639933628318586,0.504612012987013,0.41097867496480717,0.40239553120653626,0.7455,0.387,0.864448051948052,0.0215,0.6578424884182661,0.4551602469861805,0.4918032786885246,0.03910868576625739,2000,2000,1232,2000
11,intruder_only_full_body,jitter,0.1,0.40569690265486724,0.44443831168831166,0.33664919221938205,0.3300829597087347,0.775,0.1925,0.8092532467532467,0.001,0.6792287467134093,0.2668977469670711,0.3984812150279776,0.001989060169070114,2000,2000,1232,2000
11,intruder_only_full_body,dropout,0.05,0.615320796460177,0.6359642857142858,0.6170635949159038,0.6107662453816314,0.7165,0.501,0.8303571428571429,0.496,0.7257533552798177,0.5160958022147824,0.6763636363636364,0.5500415858053784,2000,2000,1232,2000
11,intruder_only_full_body,dropout,0.15,0.6097898230088495,0.6288603896103896,0.612779383945578,0.6064353997414156,0.704,0.499,0.8084415584415584,0.504,0.7200204551265661,0.5077588399898245,0.6725185685347738,0.5508196721311476,2000,2000,1232,2000
11,intruder_only_full_body,dropout,0.3,0.5958241150442478,0.6105470779220779,0.6003463817220751,0.5950491174245618,0.675,0.5095,0.7491883116883117,0.5085,0.7027589796980739,0.5014763779527559,0.6502289538569919,0.5469212153804787,2000,2000,1232,2000
11,intruder_only_full_body,temporal_subsample,2.0,0.6173949115044248,0.634099025974026,0.6188279333336766,0.6138443973200324,0.7355,0.52,0.7913961038961039,0.4895,0.7351324337831084,0.5189620758483033,0.6657562307954934,0.5554609929078014,2000,2000,1232,2000
11,intruder_only_full_body,temporal_subsample,3.0,0.6019081858407079,0.6126964285714286,0.6023456131461467,0.5999869430736985,0.735,0.5145,0.7142857142857143,0.487,0.7273626917367639,0.5034246575342466,0.6245564229950319,0.5540386803185438,2000,2000,1232,2000
11,intruder_only_full_body,temporal_subsample,5.0,0.5735619469026548,0.5781103896103895,0.5719331701126347,0.5722687385280567,0.732,0.484,0.6209415584415584,0.4755,0.7048627828598941,0.4678588690188497,0.5687732342007435,0.5462377943710511,2000,2000,1232,2000
22,full_body_both_mice,clean,0.0,0.7934844192634561,0.7785094339622641,0.7753280942878569,0.7950031915128375,0.6660377358490566,0.703,0.8305,0.9145,0.6275555555555555,0.7191815856777494,0.8844515441959532,0.8701236917221694,1060,2000,2000,2000
22,full_body_both_mice,jitter,0.02,0.7915014164305949,0.7769811320754717,0.7732484627987026,0.7932578431826011,0.6679245283018868,0.697,0.829,0.914,0.6229652441706995,0.715605749486653,0.8833244539158231,0.8710984036216345,1060,2000,2000,2000
22,full_body_both_mice,jitter,0.05,0.7804532577903682,0.7684504716981132,0.7617786073116128,0.7830956992543315,0.6783018867924528,0.654,0.8295,0.912,0.601673640167364,0.6909667194928685,0.8836218375499334,0.8708522320362855,1060,2000,2000,2000
22,full_body_both_mice,jitter,0.1,0.7669971671388102,0.7587924528301888,0.749035829640087,0.7726391064682933,0.6971698113207547,0.624,0.8105,0.9035,0.5717601547388781,0.6747769667477697,0.8722087705138553,0.8773974265598447,1060,2000,2000,2000
22,full_body_both_mice,dropout,0.05,0.7924929178470255,0.7773018867924528,0.7743407258636885,0.7939425327883539,0.6632075471698113,0.7035,0.828,0.9145,0.6271186440677966,0.7180403164072467,0.882494004796163,0.8697099381835474,1060,2000,2000,2000
22,full_body_both_mice,dropout,0.15,0.7913597733711049,0.7750825471698113,0.7729923525501485,0.7926440726602543,0.6528301886792452,0.7055,0.827,0.915,0.6253953908721193,0.7146112939984807,0.8826040554962646,0.8693586698337292,1060,2000,2000,2000
22,full_body_both_mice,dropout,0.3,0.7890934844192634,0.7716415094339621,0.770266424405199,0.790072480964267,0.6405660377358491,0.705,0.8255,0.9155,0.6215102974828375,0.7110438729198184,0.8805333333333333,0.8679781938848068,1060,2000,2000,2000
22,full_body_both_mice,temporal_subsample,2.0,0.7899433427762039,0.7733891509433962,0.771492916464199,0.7912764046487216,0.6490566037735849,0.7025,0.828,0.914,0.6229062924400182,0.7092377587077233,0.8827292110874201,0.8710984036216345,1060,2000,2000,2000
22,full_body_both_mice,temporal_subsample,3.0,0.7915014164305949,0.7764268867924529,0.7740048641004648,0.7927345013414142,0.6632075471698113,0.701,0.8275,0.914,0.6333333333333333,0.7107731305449937,0.8810220920947565,0.8708909004287756,1060,2000,2000,2000
22,full_body_both_mice,temporal_subsample,5.0,0.7881019830028329,0.7720966981132076,0.7696125528699438,0.7893458523971075,0.6518867924528302,0.695,0.8285,0.913,0.6214028776978417,0.7063008130081301,0.8799787573021773,0.8707677634716261,1060,2000,2000,2000
22,head_neck_both_mice,clean,0.0,0.7934844192634561,0.7765141509433962,0.7787633730838742,0.7950018682608485,0.6490566037735849,0.771,0.8235,0.8625,0.6568019093078759,0.7349857006673022,0.8686708860759493,0.8545949962843696,1060,2000,2000,2000
22,head_neck_both_mice,jitter,0.02,0.7990084985835694,0.7818325471698112,0.7836380812925577,0.8006424829973535,0.6528301886792452,0.7825,0.8305,0.8615,0.6559241706161137,0.745060699833373,0.8707732634338139,0.8627941912869304,1060,2000,2000,2000
22,head_neck_both_mice,jitter,0.05,0.7961756373937677,0.7812169811320754,0.7802166834798563,0.7989386097256923,0.6688679245283019,0.7625,0.8415,0.852,0.6396030672079387,0.7393939393939394,0.8729253112033195,0.8689444161142275,1060,2000,2000,2000
22,head_neck_both_mice,jitter,0.1,0.761756373937677,0.7553867924528302,0.7464640634383287,0.7695073203709002,0.7075471698113207,0.642,0.8425,0.8295,0.573394495412844,0.674724119810825,0.8636596617119426,0.8740779768177028,1060,2000,2000,2000
22,head_neck_both_mice,dropout,0.05,0.7917847025495751,0.7739056603773584,0.7766362738492895,0.793199396273635,0.6396226415094339,0.771,0.8225,0.8625,0.6522366522366523,0.7328897338403042,0.8683029823172341,0.8531157270029673,1060,2000,2000,2000
22,head_neck_both_mice,dropout,0.15,0.7879603399433428,0.768313679245283,0.7718038479473666,0.7891346815635011,0.620754716981132,0.773,0.816,0.8635,0.6416382252559727,0.7302786962683042,0.8637205609949722,0.8515779092702169,1060,2000,2000,2000
22,head_neck_both_mice,dropout,0.3,0.785127478753541,0.7624882075471698,0.7677370511695342,0.7858798432604273,0.5924528301886792,0.7805,0.811,0.866,0.6314731020613373,0.7272303750291171,0.863225119744545,0.8490196078431372,1060,2000,2000,2000
22,head_neck_both_mice,temporal_subsample,2.0,0.7963172804532578,0.7803443396226415,0.781500503143902,0.7985710525935984,0.660377358490566,0.781,0.823,0.857,0.653289780681288,0.7422190544072226,0.8711299285525271,0.8593632489345701,1060,2000,2000,2000
22,head_neck_both_mice,temporal_subsample,3.0,0.7909348441926346,0.7751509433962265,0.7762168815377821,0.793682131634072,0.6566037735849056,0.78,0.8145,0.8495,0.6450417052826691,0.7360226468506723,0.864420270628814,0.8593829033889732,1060,2000,2000,2000
22,head_neck_both_mice,temporal_subsample,5.0,0.7909348441926346,0.7754834905660377,0.7762799496916946,0.7943321225827995,0.659433962264151,0.787,0.8175,0.838,0.6406966086159487,0.7372365339578454,0.8639365918097754,0.8632500643832088,1060,2000,2000,2000
22,no_tail_both_mice,clean,0.0,0.8045325779036827,0.782938679245283,0.7841968290355136,0.8072250580787651,0.620754716981132,0.805,0.8425,0.8635,0.6112401300510915,0.7597923548843795,0.8760072783987523,0.889747552807831,1060,2000,2000,2000
22,no_tail_both_mice,jitter,0.02,0.8045325779036827,0.7836037735849057,0.7843748231976326,0.8074779537889991,0.6264150943396226,0.801,0.8445,0.8625,0.6108555657773689,0.7596017069701281,0.8767194393978718,0.8903225806451613,1060,2000,2000,2000
22,no_tail_both_mice,jitter,0.05,0.7961756373937677,0.7773372641509434,0.7759739670836926,0.8008471030960838,0.6358490566037736,0.7685,0.85,0.855,0.5891608391608392,0.7466601894583434,0.8762886597938144,0.8917861799217731,1060,2000,2000,2000
22,no_tail_both_mice,jitter,0.1,0.7610481586402267,0.755316037735849,0.7465946688613894,0.7718394777266583,0.7122641509433962,0.6595,0.8205,0.829,0.5569900405754334,0.6927521008403361,0.8504793988079813,0.8861571352218065,1060,2000,2000,2000
22,no_tail_both_mice,dropout,0.05,0.8039660056657224,0.7817735849056604,0.783333372042109,0.8066124327502755,0.6150943396226415,0.807,0.841,0.864,0.6084927671488567,0.7589936515400894,0.8758135902108826,0.8900334792686068,1060,2000,2000,2000
22,no_tail_both_mice,dropout,0.15,0.8007082152974504,0.7766816037735849,0.7788541681895345,0.8031325815900778,0.5962264150943396,0.808,0.8385,0.864,0.5965077866918358,0.7556698620528408,0.8738926524231371,0.8893463715903243,1060,2000,2000,2000
22,no_tail_both_mice,dropout,0.3,0.7991501416430595,0.7729787735849056,0.7761220869545516,0.8010853583747616,0.5764150943396227,0.8155,0.832,0.868,0.5886319845857418,0.7543940795559667,0.8705205336123463,0.8909417500641519,1060,2000,2000,2000
22,no_tail_both_mice,temporal_subsample,2.0,0.8025495750708215,0.7814103773584906,0.7824860431100131,0.8054915810156054,0.6226415094339622,0.8045,0.843,0.8555,0.6096997690531177,0.7587833058240981,0.8751622112639502,0.8862988862988863,1060,2000,2000,2000
22,no_tail_both_mice,temporal_subsample,3.0,0.7995750708215298,0.7793396226415094,0.7800719055748699,0.8031116453038194,0.6273584905660378,0.7995,0.837,0.8535,0.6070287539936102,0.7537119962290832,0.8721021099244595,0.8874447621523265,1060,2000,2000,2000
22,no_tail_both_mice,temporal_subsample,5.0,0.7960339943342776,0.777433962264151,0.7780187476973311,0.8003750958249995,0.6377358490566037,0.794,0.8365,0.8415,0.6101083032490975,0.7448405253283302,0.872035444357571,0.8850907178543256,1060,2000,2000,2000
22,trunk_tail_both_mice,clean,0.0,0.7495750708215297,0.7229103773584906,0.7263413178995608,0.7535611549217555,0.5226415094339623,0.827,0.713,0.829,0.5219029674988224,0.7222707423580786,0.7874102705687466,0.8737812911725955,1060,2000,2000,2000
